providernumber,hospitalname,address1,address2,address3,city,state,zip,country,phone,hospitaltype,hospitalowner,emergencyservice,condition,measurecode,measurename,score,sample,stateavg
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,JEFFERSON,2059757100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,100%,7 patients,AL_AMI-1
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,JEFFERSON,2059757100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,100%,6 patients,AL_AMI-2
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,JEFFERSON,2059757100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),,0 patients,AL_AMI-3
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM,AL,35150,JEFFERSON,2059757100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,,0 patients,AL_AMI-4
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM-*,AL,35205,JEFFERSON,2059757100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),78%,51 patients,AL_PN-6
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,JEFFERSON,2059757100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,76%,37 patients,AL_PN-7
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,JEFFERSON,2562495000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,97%,34 patients,AL_SCIP-CARD-2
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,JEFFERSON,2562495000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),96%,152 patients,AL_SCIP-INF-3
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,JEFFERSON,2059757100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,0 patients,AL_SCIP-INF-4
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,,,BIRMINGHAM,AL,35205,JEFFERSON,2059757100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,95%,100 patients,AL_SCIP-VTE-2
10168,SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,,,PHENIX CITY,AL,36867,RUSSELL,3347323456,Acute Care Hospitals,Government - State,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),72%,40 patients,AL_PN-6
10168,SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,,,PHENIX CITY,AL,36867,RUSSELL,3347323456,Acute Care Hospitals,Government - State,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),96%,150 patients,AL_SCIP-INF-3
10168,SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,,,PHENIX CITY,AL,36867,RUSSELL,3347323456,Acute Care Hospitals,Government - State,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,0 patients,AL_SCIP-INF-4
10168,SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,,,PHENIX CITY,AL,36867,RUSSELL,3347323456,Acute Care Hospitals,Government - State,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),97%,219 patients,AL_SCIP-INF-6
10168,SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,,,PHENIX CITY,AL,36867,RUSSELL,3347323456,Acute Care Hospitals,Government - State,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,99%,126 patients,AL_SCIP-VTE-1
10168,SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,,,PHENIX CITY,AL,36867,RUSSELL,3347323456,Acute Care Hospitals,Government - State,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,98%,126 patients,AL_SCIP-VTE-2
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,,,ATMORE,AL-*,36502,ESCAMBIA,2513682500,Acute Care Hospitals,Government - Hospital District or Authority,No,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,67%,3 patients,AL_SCIP-INF-2
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,,,ATMORE,AL,36502,ESCAMBIA,2513682500,Acute Care Hospitals,Government - Hospital District or Authority,No,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),100%,1 patients,AL_SCIP-INF-3
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,,,ATMORE,AL,36502,ESCAMBIA,2513682500,Acute Care Hospitals,Government - Hospital District or Authority,No,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,0 patients,AL_SCIP-INF-4
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,,,ATMORE,AL,36502,ESCAMBIA,2513682500,Acute Care Hospitals,Government - Hospital District or Authority,No,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),83%,12 patients,AL_SCIP-INF-6
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,,,ATMORE,AL,36502,ESCAMBIA,2513682500,Acute Care Hospitals,Government - Hospital District or Authority,No,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,70%,10 patients,AL_SCIP-VTE-1
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,,,ATMORE,AL,36502,ESCAMBIA,2513682500,Acute Care Hospitals,Government - Hospital District or Authority,No,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,70%,10 patients,AL_SCIP-VTE-2
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,,,MONTGOMERY,AL-*,36109,MONTGOMERY,3342604100,Acute Care - VA Medical Center,Government Federal,No,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),100%,29 patients,AL_HF-3
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,,,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,Acute Care - VA Medical Center,Government Federal,No,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,100%,19 patients,AL_PN-4
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,,,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,Acute Care - VA Medical Center,Government Federal,No,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,93%,45 patients,AL_PN-5C
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,,,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,Acute Care - VA Medical Center,Government Federal,No,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,,AL_SCIP-VTE-1
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,,,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,Acute Care - VA Medical Center,Government Federal,No,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,,AL_SCIP-VTE-2
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,,,TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Acute Care - VA Medical Center,Government Federal,No,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,,,AL_AMI-1
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,,,TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Acute Care - VA Medical Center,Government Federal,No,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,,,AL_AMI-2
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,,,TUSCALOOSA,AL-*,35404,TUSCALOOSA,2055542000,Acute Care - VA Medical Center,Government Federal,No,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),,,AL_AMI-3
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,,,TUSCALOOSA,AL,35404,TUSCALOOSA,2562495000,Acute Care - VA Medical Center,Government Federal,No,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,,,AL_AMI-4
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,,,TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Acute Care - VA Medical Center,Government Federal,No,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,,,AL_AMI-5
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,,,TUSCALOOSA,AL-*,35404,TUSCALOOSA,2055542000,Acute Care - VA Medical Center,Government Federal,No,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,,,AL_PN-7
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,,,TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Acute Care - VA Medical Center,Government Federal,No,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,,,AL_SCIP-CARD-2
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,,,TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Acute Care - VA Medical Center,Government Federal,No,Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,,,AL_SCIP-INF-1
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,,,TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Acute Care - VA Medical Center,Government Federal,No,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,,,AL_SCIP-INF-2
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,,,TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Acute Care - VA Medical Center,Government Federal,No,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),,,AL_SCIP-INF-3
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,,,TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Acute Care - VA Medical Center,Government Federal,No,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,,AL_SCIP-INF-4
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,,,TUSCALOOSA-*,AL,35404,TUSCALOOSA,2055542000,Acute Care - VA Medical Center,Government Federal,No,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),,,AL_SCIP-INF-6
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,,,TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Acute Care - VA Medical Center,Government Federal,No,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,,AL_SCIP-VTE-1
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,,,TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Acute Care - VA Medical Center,Government Federal,No,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,,AL_SCIP-VTE-2
11300,WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,,,CHATOM,AL,36518,WASHINGTON,2518472223,Critical Access Hospitals,Government - Hospital District or Authority,No,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,50%,6 patients,AL_PN-2
11300,WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,,,CHATOM,AL,36518,WASHINGTON,2518472223,Critical Access Hospitals,Government - Hospital District or Authority,No,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,0%,1 patients,AL_PN-3B
11300,WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,,,CHATOM,AL,36518,WASHINGTON,2518472223,Critical Access Hospitals,Government - Hospital District or Authority,No,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,100%,1 patients,AL_PN-4
11300,WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,,,CHATOM,AL-*,36518,WASHINGTON,2518472223,Critical Access Hospitals,Government - Hospital District or Authority,No,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,100%,5 patients,AL_PN-5C
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,,,ANCHORAGE,AK,99508,ANCHORAGE,9072761131,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,100%,114 patients,AK_AMI-5
11300,WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,,,CHATOM,AL,36518,WASHINGTON,2518472223,Critical Access Hospitals,Government - Hospital District or Authority,No,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),80%,5 patients,AL_PN-6
11300,WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,,,CHATOM,AL,36518,WASHINGTON,2518472223,Critical Access Hospitals,Government - Hospital District or Authority,No,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,0%,2 patients,AL_PN-7
11300,WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,,,CHATOM,AL,36518,WASHINGTON,2518472223,Critical Access Hospitals,Government - Hospital District or Authority,No,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,,AL_SCIP-VTE-2
